Modified Date: 2022-06-03 23:33 UTC,,,,,,,,,,,,,,,,,,
disclaimer_EN,,,,,,,,,,,,,,,,,,
Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
HART RIVER,YUKON TERRITORY,2100632,1558,,,64.65,-136.78,643900000,-1364700000,914.4,1969,1969,,,1969,1969,1969,1969
HERSCHEL ISLAND,YUKON TERRITORY,2100635,1559,,,69.5,-139.25,693000000,-1391500000,4.6,1896,1918,,,1896,1918,1899,1905
HERSCHEL ISLAND,YUKON TERRITORY,2100636,1560,71501,WJN,69.57,-138.91,693405500,-1385448200,1.2,1974,2022,1994,2022,1974,2022,1974,2007
HOUR LAKE,YUKON TERRITORY,2100FCG,1511,,,61.18,-129.13,611054000,-1290754000,890,1982,2017,,,1982,2017,1982,2007
HOWARDS PASS,YUKON TERRITORY,2100638,1561,,,62.47,-129.2,622800000,-1291200000,1563.6,1977,1978,,,1977,1978,1977,1978
HUDSON BAY MINE,YUKON TERRITORY,2100639,1562,,,63.18,-130.17,631100000,-1301000000,1493.5,1982,1983,,,1982,1983,1982,1983
IRON CREEK,YUKON TERRITORY,2100650,1563,,,60.02,-127.85,600100000,-1275100000,868.7,1958,1960,,,1958,1960,1958,1960
IVVAVIK NAT. PARK,YUKON TERRITORY,2100660,26869,71978,WOI,69.16,-140.15,690952000,-1400900000,243.8,1995,2022,1995,2022,1995,2022,2004,2006
JOHNSONS CROSSING,YUKON TERRITORY,2100670,1564,,,60.48,-133.3,602900000,-1331800000,690.4,1963,1995,,,1963,1995,1963,1995
KENO HILL,YUKON TERRITORY,2100677,1565,,,63.93,-135.2,635600000,-1351200000,1472.8,1974,1982,,,1974,1982,1974,1982
KETZA RIVER MINE,YUKON TERRITORY,2100FPP,1512,,,61.52,-132.27,613100000,-1321600000,1380,1985,1995,,,1985,1995,1986,1995
